"","t","","",""
"1",0.001,1.05868004857858,0.254851073341317,0.236335303488738
"2",0.002,1.0477736646773,0.101647350763377,-0.295799710064229
"3",0.003,1.01016135879876,-0.126898941257938,-0.0657467072770202
"4",0.004,1.02154928088345,0.0211343193515976,0.207644585335244
"5",0.005,1.04667939554694,0.0500701214260946,0.305009409695638
"6",0.006,1.00046797552059,-0.0301968098939929,0.00493180641237743
"7",0.007,1.01823526707456,-0.0825785458736138,-0.173158432875217
"8",0.008,1.00602591155518,-0.093868742467705,0.0572432870121669
"9",0.009,1.0447976442861,0.0764060481904442,-0.292855311213069
"10",0.01,1.00589742177793,-0.0122762112163581,0.108069041717151
"11",0.011,1.04218436229179,-0.0247802104933471,0.29246228162525
"12",0.012,1.01082348622164,-0.0288939434831079,0.144669486510663
"13",0.013,1.01306269172197,-0.0626242117991275,-0.149580163977369
"14",0.014,1.00362144066029,-0.0655436329369235,-0.0544061424332413
"15",0.015,1.00816481076191,-0.112865694087095,0.0604782668141271
"16",0.016,1.00356799347685,-0.0171879978777233,0.0827846015880897
"17",0.017,1.00378435619009,0.0348410237888057,-0.0798068718425788
"18",0.018,1.00610589504973,-0.00989341694072021,-0.110232446924934
"19",0.019,1.06822494304,-0.327541159764823,-0.183905730179148
"20",0.02,1.08444472141532,-0.0899226023195589,0.409797851870434
"21",0.021,1.06807170760832,-0.26886624660346,0.261702338603835
"22",0.022,1.00184748482883,-0.0118323056930962,-0.0596521533545033
"23",0.023,1.04586775625777,0.260466406553566,0.161234657058373
"24",0.024,1.00105747750254,0.0369388130010663,0.0274152759940136
"25",0.025,1.00117489350207,0.0169321248630478,-0.0454364449148543
"26",0.026,1.01494094123294,0.0639802430340893,0.161281253380899
"27",0.027,1.05249857965828,0.192564976323121,0.265842039708488
"28",0.028,1.00798749794603,-0.12643453343387,0.00728730202934021
"29",0.029,1.01121621421956,0.0923281439339161,0.118464111604551
"30",0.03,1.00002500213101,0.00706901687762374,0.000184085583819028
"31",0.031,1.00075766455071,-0.0292822113161556,0.0256603830333416
"32",0.032,1.01003267519768,-0.0618412890309034,0.127834502142351
"33",0.033,1.00101591191689,-0.00402573498588809,-0.0449071193535266
"34",0.034,1.11077606336157,0.393566299363202,0.280943109797315
"35",0.035,1.03433720865877,0.211563505422357,0.158411945223301
"36",0.036,1.00394372403498,0.0800552295697713,-0.0386543819995143
"37",0.037,1.00587942834626,-0.0816527663136857,0.0715978360253539
"38",0.038,1.03016365058082,0.0517160182700089,-0.241997108313921
"39",0.039,1.00403687173191,-0.0876225601950729,-0.0203058302480783
"40",0.04,1.00176478826666,0.0580425438939616,0.0127966444536343
"41",0.041,1.00906852914607,0.0870631685262524,-0.103146988318479
"42",0.042,1.01702402613807,0.107663962339227,0.150818901187819
"43",0.043,1.01398931395625,-0.13263551674329,0.102869570406885
"44",0.044,1.01544624677595,0.151882232441536,0.0897934716999628
"45",0.045,1.01769862155003,0.138001620969281,0.129097005831618
"46",0.046,1.02299016965883,-0.013489943781614,0.215236866348138
"47",0.047,1.0244048768529,0.218624381044185,0.0401089981557668
"48",0.048,1.00920585395961,-0.134914754475575,0.0171599735178282
"49",0.049,1.00389710085577,-0.000958256829639221,0.0883655523972451
"50",0.05,1.00093855939979,0.0318192404339288,-0.0294199869396657
"51",0.051,1.02241381225543,0.111563737829371,0.181338181010588
"52",0.052,1.00412097564267,0.0353269836696898,-0.0837313438945065
"53",0.053,1.11039859709413,0.159819456329913,0.455458873892055
"54",0.054,1.04141293169802,-0.192852897152368,0.217597459469992
"55",0.055,1.02762873838749,0.138132719353563,0.192198272114634
"56",0.056,1.01893745174866,-0.128467707491801,-0.147409561114094
"57",0.057,1.00509278262219,-0.0430974720016806,-0.0914008183020799
"58",0.058,1.00684263457871,0.0780357012343306,-0.0874215084419026
"59",0.059,1.00132397919998,0.049851494377627,0.0128273079480883
